,Week,Date,Home Team,Away Team,Spread,Home Points,Away Points,home_turnovers_won,away_turnovers_won,Turnover,home_bounces,away_bounces,penalties_conceded,home_one_percenters,away_one_percenters,percenters,home_free_kicks,away_free_kicks,Unnamed: 18
0,-3,2021-04-23,St_Kilda,Carlton,-11.5,,,,,0.0,,,0.0,,,,,,
1,-3,2021-04-23,Western_Bulldogs,Adelaide,-39.5,,,,,0.0,,,0.0,,,,,,
2,-3,2021-04-24,North_Melbourne,Geelong,34.5,,,,,0.0,,,0.0,,,,,,
3,-3,2021-04-24,Collingwood,West_Coast,5.5,,,,,0.0,,,0.0,,,,,,
4,-3,2021-04-25,Gold_Coast,Melbourne_Demons,29.5,,,,,0.0,,,0.0,,,,,,
5,-3,2021-05-07,Hawthorn,Brisbane,29.5,,,,,0.0,,,0.0,,,,,,
6,-3,2021-05-07,Essendon,Sydney_Swans,12.5,,,,,0.0,,,0.0,,,,,,
7,-3,2021-05-07,Fremantle,Richmond,8.5,,,,,0.0,,,0.0,,,,,,
8,-3,2021-08-01,GWS_Sydney,Port_Adelaide,14.5,,,,,0.0,,,0.0,,,,,,
9,-2,2021-05-08,Geelong,GWS_Sydney,-38.5,,,,,0.0,,,0.0,,,,,,
10,-2,2021-05-08,Carlton,Gold_Coast,-22.5,,,,,0.0,,,0.0,,,,,,
11,-2,2021-05-08,Richmond,North_Melbourne,-13.5,,,,,0.0,,,0.0,,,,,,
12,-2,2021-05-09,St_Kilda,Sydney_Swans,18.5,,,,,0.0,,,0.0,,,,,,
13,-2,2021-08-07,Adelaide,Port_Adelaide,37.5,,,,,0.0,,,0.0,,,,,,
14,-2,2021-05-14,Hawthorn,Collingwood,7.5,,,,,0.0,,,0.0,,,,,,
15,-2,2021-05-15,Western_Bulldogs,Essendon,-27.5,,,,,0.0,,,0.0,,,,,,
16,-2,2021-05-15,Fremantle,Brisbane,11.5,,,,,0.0,,,0.0,,,,,,
17,-2,2021-08-09,West_Coast,Melbourne_Demons,15.5,,,,,0.0,,,0.0,,,,,,
18,-1,2022-08-13,GWS_Sydney,Richmond,5.5,,,,,0.0,,,0.0,,,,,,
19,-1,2021-05-15,Hawthorn,Western_Bulldogs,26.5,,,,,0.0,,,0.0,,,,,,
20,-1,2021-05-16,Port_Adelaide,Carlton,-41.5,,,,,0.0,,,0.0,,,,,,
21,-1,2021-05-22,Geelong,St_Kilda,-19.5,,,,,0.0,,,0.0,,,,,,
22,-1,2021-05-22,Brisbane,Collingwood,-37.5,,,,,0.0,,,0.0,,,,,,
23,-1,2021-08-14,North_Melbourne,Sydney_Swans,14.5,,,,,0.0,,,0.0,,,,,,
24,-1,2021-05-29,Melbourne_Demons,Adelaide,-44.5,,,,,0.0,,,0.0,,,,,,
25,-1,2021-05-29,Gold_Coast,Essendon,21.5,,,,,0.0,,,0.0,,,,,,
26,-1,2021-08-15,Fremantle,West_Coast,16.5,,,,,0.0,,,0.0,,,,,,
27,0,2021-08-20,Western_Bulldogs,Port_Adelaide,-6.5,,,,,0.0,,,0.0,,,,,,
28,0,2021-08-20,Richmond,Hawthorn,17.5,,,,,0.0,,,0.0,,,,,,
29,0,2021-08-20,Sydney_Swans,Gold_Coast,-31.5,,,,,0.0,,,0.0,,,,,,
30,0,2021-08-20,Brisbane,West_Coast,-42.5,,,,,0.0,,,0.0,,,,,,
31,0,2021-08-20,Geelong,Melbourne_Demons,-1.5,,,,,0.0,,,0.0,,,,,,
32,0,2021-08-20,Carlton,GWS_Sydney,21.5,,,,,0.0,,,0.0,,,,,,
33,0,2021-08-20,St_Kilda,Fremantle,-6.5,,,,,0.0,,,0.0,,,,,,
34,0,2021-08-20,Essendon,Collingwood,-21.5,,,,,0.0,,,0.0,,,,,,
35,0,2021-06-04,Adelaide,North_Melbourne,-1.5,,,,,0.0,,,0.0,,,,,,
36,0,2021-06-04,Port_Adelaide,Geelong,-5.5,,,,,0.0,,,0.0,,,,,,
37,0,2021-06-04,Sydney_Swans,GWS_Sydney,-3.5,,,,,0.0,,,0.0,,,,,,
38,0,2021-06-05,Melbourne_Demons,Brisbane,-5.5,,,,,0.0,,,0.0,,,,,,
39,0,2021-06-05,Western_Bulldogs,Essendon,-10.5,,,,,0.0,,,0.0,,,,,,
40,0,2021-06-05,Geelong,GWS_Sydney,-18.5,,,,,0.0,,,0.0,,,,,,
41,0,2021-06-11,Brisbane,Western_Bulldogs,-9.5,,,,,0.0,,,0.0,,,,,,
42,0,2021-06-11,Melbourne_Demons,Geelong,-10.5,,,,,0.0,,,0.0,,,,,,
43,0,2021-06-12,Port_Adelaide,Western_Bulldogs,-16.5,,,,,0.0,,,0.0,,,,,,
44,0,2021-06-13,Melbourne_Demons,Western_Bulldogs,-6.5,,,,,0.0,,,0.0,,,,,,
45,1,2022-03-16,Melbourne_Demons,Western_Bulldogs,-7.5,97.0,71.0,,,0.0,,,0.0,,,,,,
46,1,2022-03-17,Carlton,Richmond,10.5,101.0,76.0,,,0.0,,,0.0,,,,,,
47,1,2022-03-18,St_Kilda,Collingwood,-7.5,85.0,102.0,,,0.0,,,0.0,,,,,,
48,1,2022-03-19,Geelong,Essendon,-6.5,138.0,72.0,,,0.0,,,0.0,,,,,,
